film_id,title_clean,description_clean,category_name,language_name,length,Copias_en_inventario
223,"Desire alien","A fast-paced tale of a dog and a forensic psychologist who must meet a astronaut in the first manned space station",Animation,English,76,2
239,"Dogma family","A brilliant character study of a database administrator and a monkey who must succumb a astronaut in new orleans",Animation,English,122,8
241,"Donnie alley","A awe-inspiring tale of a butler and a frisbee who must vanquish a teacher in ancient japan",Animation,English,125,4
243,"Doors president","A awe-inspiring display of a squirrel and a woman who must overcome a boy in the gulf of mexico",Animation,English,49,6
245,"Double wrath","A thoughtful yarn of a womanizer and a dog who must challenge a madman in the gulf of mexico",Animation,English,177,7
259,"Duck racer","A lacklusture yarn of a teacher and a squirrel who must overcome a dog in a shark tank",Animation,English,116,2
268,"Early home","A amazing panorama of a mad scientist and a husband who must meet a woman in the outback",Animation,English,96,2
300,"Falcon volume","A fateful saga of a sumo wrestler and a hunter who must redeem a a shark in new orleans",Animation,English,102,6
314,"Fight jawbreaker","A intrepid panorama of a womanizer and a girl who must escape a girl in a manhattan penthouse",Animation,English,91,6
326,"Flying hook","A thrilling display of a mad cow and a dog who must challenge a frisbee in nigeria",Animation,English,69,6
330,"Forrester comancheros","A fateful tale of a squirrel and a forensic psychologist who must redeem a man in nigeria",Animation,English,112,7
349,"Gangs pride","A taut character study of a woman and a a shark who must confront a frisbee in berlin",Animation,English,185,7
355,"Ghostbusters elf","A thoughtful epistle of a dog and a feminist who must chase a composer in berlin",Animation,English,101,2
402,"Harper dying","A awe-inspiring reflection of a woman and a cat who must confront a feminist in the sahara desert",Animation,English,52,6
430,"Hook chariots","A insightful story of a boy and a dog who must redeem a boy in australia",Animation,English,49,4
433,"Horn working","A stunning display of a mad scientist and a technical writer who must succumb a monkey in a shark tank",Animation,English,95,6
456,"Inch jet","A fateful saga of a womanizer and a student who must defeat a butler in a monastery",Animation,English,167,6
461,"Insects stone","A epic display of a butler and a dog who must vanquish a crocodile in a manhattan penthouse",Animation,English,123,6
464,"Intentions empire","A astounding epistle of a cat and a cat who must conquer a mad cow in a u-boat",Animation,English,107,7
470,"Ishtar rocketeer","A astounding saga of a dog and a squirrel who must conquer a dog in an abandoned fun house",Animation,English,79,2
489,"Juggler hardly","A epic story of a mad cow and a astronaut who must challenge a car in california",Animation,English,54,8
510,"Lawless vision","A insightful yarn of a boy and a sumo wrestler who must outgun a car in the outback",Animation,English,181,4
541,"Luke mummy","A taut character study of a boy and a robot who must redeem a mad scientist in ancient india",Animation,English,74,2
564,"Massage image","A fateful drama of a frisbee and a crocodile who must vanquish a dog in the first manned space station",Animation,English,161,3
569,"Menagerie rushmore","A unbelieveable panorama of a composer and a butler who must overcome a database administrator in the first manned space station",Animation,English,147,2
582,"Miracle virtual","A touching epistle of a butler and a boy who must find a mad scientist in the sahara desert",Animation,English,162,2
583,"Mission zoolander","A intrepid story of a sumo wrestler and a teacher who must meet a a shark in an abandoned fun house",Animation,English,164,5
615,"Nash chocolat","A epic reflection of a monkey and a mad cow who must kill a forensic psychologist in an abandoned mine shaft",Animation,English,180,4
644,"Oscar gold","A insightful tale of a database administrator and a dog who must face a madman in soviet georgia",Animation,English,115,7
649,"Oz liaisons","A epic yarn of a mad scientist and a cat who must confront a womanizer in a baloon factory",Animation,English,85,6
651,"Packer madigan","A epic display of a sumo wrestler and a forensic psychologist who must build a woman in an abandoned amusement park",Animation,English,84,6
690,"Pond seattle","A stunning drama of a teacher and a boat who must battle a feminist in ancient china",Animation,English,185,6
692,"Potluck mixed","A beautiful story of a dog and a technical writer who must outgun a student in a baloon",Animation,English,179,3
693,"Potter connecticut","A thrilling epistle of a frisbee and a cat who must fight a technical writer in berlin",Animation,English,115,5
696,"Pride alamo","A thoughtful drama of a a shark and a forensic psychologist who must vanquish a student in ancient india",Animation,English,114,5
703,"Punk divorce","A fast-paced tale of a pastry chef and a boat who must face a frisbee in the canadian rockies",Animation,English,100,2
743,"Room roman","A awe-inspiring panorama of a composer and a secret agent who must sink a composer in a shark tank",Animation,English,60,6
805,"Sleepless monsoon","A amazing saga of a moose and a pastry chef who must escape a butler in australia",Animation,English,64,5
816,"Snowman rollercoaster","A fateful display of a lumberjack and a girl who must succumb a mad cow in a manhattan penthouse",Animation,English,62,7
820,"Sons interview","A taut character study of a explorer and a mad cow who must battle a hunter in ancient china",Animation,English,184,6
849,"Storm happiness","A insightful drama of a feminist and a a shark who must vanquish a boat in a shark tank",Animation,English,57,8
859,"Sugar wonka","A touching story of a dentist and a database administrator who must conquer a astronaut in an abandoned amusement park",Animation,English,114,6
865,"Sunrise league","A beautiful epistle of a madman and a butler who must face a crocodile in a manhattan penthouse",Animation,English,135,6
880,"Telemark heartbreakers","A action-packed panorama of a technical writer and a man who must build a forensic psychologist in a manhattan penthouse",Animation,English,152,8
886,"Theory mermaid","A fateful yarn of a composer and a monkey who must vanquish a womanizer in the first manned space station",Animation,English,184,4
887,"Thief pelican","A touching documentary of a madman and a mad scientist who must outrace a feminist in an abandoned mine shaft",Animation,English,135,6
892,"Titanic boondock","A brilliant reflection of a feminist and a dog who must fight a boy in a baloon factory",Animation,English,104,7
901,"Tracy cider","A touching reflection of a database administrator and a madman who must build a lumberjack in nigeria",Animation,English,142,7
916,"Turn star","A stunning tale of a man and a monkey who must chase a student in new orleans",Animation,English,80,4
953,"Wait cider","A intrepid epistle of a woman and a forensic psychologist who must succumb a astronaut in a manhattan penthouse",Animation,English,112,6
963,"Watch tracy","A fast-paced yarn of a dog and a frisbee who must conquer a hunter in nigeria",Animation,English,78,5
986,"Wonka sea","A brilliant saga of a boat and a mad scientist who must meet a moose in ancient india",Animation,English,85,6
48,"Backlash undefeated","A stunning character study of a mad scientist and a mad cow who must kill a car in a monastery",Children,English,118,4
59,"Bear graceland","A astounding saga of a dog and a boy who must kill a teacher in the first manned space station",Children,English,160,5
66,"Beneath rush","A astounding panorama of a man and a monkey who must discover a man in the first manned space station",Children,English,53,3
68,"Betrayed rear","A emotional character study of a boat and a pioneer who must find a explorer in a shark tank",Children,English,122,4
110,"Cabin flash","A stunning epistle of a boat and a man who must challenge a a shark in a baloon factory",Children,English,53,4
124,"Casper dragonfly","A intrepid documentary of a boat and a crocodile who must chase a robot in the sahara desert",Children,English,163,3
149,"Christmas moonshine","A action-packed epistle of a feminist and a astronaut who must conquer a boat in a manhattan penthouse",Children,English,150,6
152,"Circus youth","A thoughtful drama of a pastry chef and a dentist who must pursue a girl in a baloon",Children,English,90,4
157,"Clockwork paradise","A insightful documentary of a technical writer and a feminist who must challenge a cat in a baloon",Children,English,143,3
168,"Comancheros enemy","A boring saga of a lumberjack and a monkey who must find a monkey in the gulf of mexico",Children,English,67,2
191,"Crooked frogmen","A unbelieveable drama of a hunter and a database administrator who must battle a crocodile in an abandoned amusement park",Children,English,143,6
214,"Daughter madigan","A beautiful tale of a hunter and a mad scientist who must confront a squirrel in the first manned space station",Children,English,59,4
238,"Doctor grail","A insightful drama of a womanizer and a waitress who must reach a forensic psychologist in the outback",Children,English,57,2
280,"Empire malkovich","A amazing story of a feminist and a cat who must face a car in an abandoned fun house",Children,English,177,6
304,"Fargo gandhi","A thrilling reflection of a pastry chef and a crocodile who must reach a teacher in the outback",Children,English,130,6
328,"Forever candidate","A unbelieveable panorama of a technical writer and a man who must pursue a frisbee in a u-boat",Children,English,131,4
343,"Full flatliners","A beautiful documentary of a astronaut and a moose who must pursue a monkey in a shark tank",Children,English,94,2
344,"Fury murder","A lacklusture reflection of a boat and a forensic psychologist who must fight a waitress in a monastery",Children,English,178,5
354,"Ghost groundhog","A brilliant panorama of a madman and a composer who must succumb a car in ancient india",Children,English,85,5
356,"Giant troopers","A fateful display of a feminist and a monkey who must vanquish a monkey in the canadian rockies",Children,English,102,8
370,"Gorgeous bingo","A action-packed display of a sumo wrestler and a car who must overcome a waitress in a baloon factory",Children,English,108,5
373,"Graduate lord","A lacklusture epistle of a girl and a a shark who must meet a mad scientist in ancient china",Children,English,156,5
392,"Hall cassidy","A beautiful panorama of a pastry chef and a a shark who must battle a pioneer in soviet georgia",Children,English,51,6
409,"Heartbreakers bright","A awe-inspiring documentary of a a shark and a dentist who must outrace a pastry chef in the canadian rockies",Children,English,59,7
423,"Hollywood anonymous","A fast-paced epistle of a boy and a explorer who must escape a dog in a u-boat",Children,English,69,4
424,"Holocaust highball","A awe-inspiring yarn of a composer and a man who must find a robot in soviet georgia",Children,English,149,5
450,"Idols snatchers","A insightful drama of a car and a composer who must fight a man in a monastery",Children,English,84,7
468,"Invasion cyclone","A lacklusture character study of a mad scientist and a womanizer who must outrace a explorer in a monastery",Children,English,97,8
485,"Jersey sassy","A lacklusture documentary of a madman and a mad cow who must find a feminist in ancient japan",Children,English,60,3
491,"Jumping wrath","A touching epistle of a monkey and a feminist who must discover a boat in berlin",Children,English,74,6
505,"Labyrinth league","A awe-inspiring saga of a composer and a frisbee who must succumb a pioneer in the sahara desert",Children,English,46,4
509,"Language cowboy","A epic yarn of a cat and a madman who must vanquish a dentist in an abandoned amusement park",Children,English,78,3
515,"Legally secretary","A astounding tale of a a shark and a moose who must meet a womanizer in the sahara desert",Children,English,113,2
547,"Magic mallrats","A touching documentary of a pastry chef and a pastry chef who must build a mad scientist in california",Children,English,117,2
553,"Maker gables","A stunning display of a moose and a database administrator who must pursue a composer in a jet boat",Children,English,136,3
573,"Microcosmos paradise","A touching character study of a boat and a student who must sink a a shark in nigeria",Children,English,105,4
588,"Model fish","A beautiful panorama of a boat and a crocodile who must outrace a dog in australia",Children,English,175,4
608,"Murder antitrust","A brilliant yarn of a car and a database administrator who must escape a boy in a mysql convention",Children,English,166,6
626,"Noon papi","A unbelieveable character study of a mad scientist and a astronaut who must find a pioneer in a manhattan penthouse",Children,English,57,4
688,"Polish brooklyn","A boring character study of a database administrator and a lumberjack who must reach a madman in the outback",Children,English,61,4
735,"Robbers joon","A thoughtful story of a mad scientist and a waitress who must confront a forensic psychologist in soviet georgia",Children,English,102,7
755,"Sabrina midnight","A emotional story of a squirrel and a crocodile who must succumb a husband in the sahara desert",Children,English,99,7
761,"Santa paris","A emotional documentary of a moose and a car who must redeem a mad cow in a baloon factory",Children,English,154,3
768,"Scarface bang","A emotional yarn of a teacher and a girl who must find a teacher in a baloon factory",Children,English,102,6
786,"Shepherd midsummer","A thoughtful drama of a robot and a womanizer who must kill a lumberjack in a baloon",Children,English,113,7
833,"Splendor patton","A taut story of a dog and a explorer who must find a astronaut in berlin",Children,English,134,7
852,"Strangelove desire","A awe-inspiring panorama of a lumberjack and a waitress who must defeat a crocodile in an abandoned amusement park",Children,English,103,7
853,"Stranger strangers","A awe-inspiring yarn of a womanizer and a explorer who must fight a woman in the first manned space station",Children,English,139,3
864,"Sundance invasion","A epic drama of a lumberjack and a explorer who must confront a hunter in a baloon factory",Children,English,92,6
873,"Sweethearts suspects","A brilliant character study of a frisbee and a sumo wrestler who must confront a woman in the gulf of mexico",Children,English,108,8
883,"Tequila past","A action-packed panorama of a mad scientist and a robot who must challenge a student in nigeria",Children,English,53,2
889,"Ties hunger","A insightful saga of a astronaut and a explorer who must pursue a mad scientist in a u-boat",Children,English,111,3
896,"Tootsie pilot","A awe-inspiring documentary of a womanizer and a pastry chef who must kill a lumberjack in berlin",Children,English,157,4
918,"Twisted pirates","A touching display of a frisbee and a boat who must kill a girl in a mysql convention",Children,English,152,4
928,"Uptown young","A fateful documentary of a dog and a hunter who must pursue a teacher in an abandoned amusement park",Children,English,84,3
959,"Warlock werewolf","A astounding yarn of a pioneer and a crocodile who must defeat a a shark in the outback",Children,English,83,2
993,"Wrong behavior","A emotional saga of a crocodile and a sumo wrestler who must discover a mad cow in new orleans",Children,English,178,7
999,"Zoolander fiction","A fateful reflection of a waitress and a boat who must discover a sumo wrestler in ancient china",Children,English,101,5
37,"Arizona bang","A brilliant panorama of a mad scientist and a mad cow who must meet a pioneer in a monastery",Classics,English,121,7
60,"Beast hunchback","A awe-inspiring epistle of a student and a squirrel who must defeat a boy in ancient china",Classics,English,89,3
91,"Bound cheaper","A thrilling panorama of a database administrator and a astronaut who must challenge a lumberjack in a baloon",Classics,English,98,8
116,"Candidate perdition","A brilliant epistle of a composer and a database administrator who must vanquish a mad scientist in the first manned space station",Classics,English,70,6
131,"Center dinosaur","A beautiful character study of a sumo wrestler and a dentist who must find a dog in california",Classics,English,152,6
166,"Color philadelphia","A thoughtful panorama of a car and a crocodile who must sink a monkey in the sahara desert",Classics,English,149,6
180,"Conspiracy spirit","A awe-inspiring story of a student and a frisbee who must conquer a crocodile in an abandoned mine shaft",Classics,English,184,2
184,"Core suit","A unbelieveable tale of a car and a explorer who must confront a boat in a manhattan penthouse",Classics,English,92,5
190,"Creepers kane","A awe-inspiring reflection of a squirrel and a boat who must outrace a car in a jet boat",Classics,English,172,4
196,"Cruelty unforgiven","A brilliant tale of a car and a moose who must battle a dentist in nigeria",Classics,English,69,2
228,"Detective vision","A fanciful documentary of a pioneer and a woman who must redeem a hunter in ancient japan",Classics,English,143,7
249,"Dracula crystal","A thrilling reflection of a feminist and a cat who must find a frisbee in an abandoned fun house",Classics,English,176,6
266,"Dynamite tarzan","A intrepid documentary of a forensic psychologist and a mad scientist who must face a explorer in a u-boat",Classics,English,141,8
297,"Extraordinary conquerer","A stunning story of a dog and a feminist who must face a forensic psychologist in berlin",Classics,English,122,2
341,"Frost head","A amazing reflection of a lumberjack and a cat who must discover a husband in a mysql convention",Classics,English,82,8
346,"Galaxy sweethearts","A emotional reflection of a womanizer and a pioneer who must face a squirrel in berlin",Classics,English,128,6
357,"Gilbert pelican","A fateful tale of a man and a feminist who must conquer a crocodile in a manhattan penthouse",Classics,English,114,4
358,"Gilmore boiled","A unbelieveable documentary of a boat and a husband who must succumb a student in a u-boat",Classics,English,163,8
425,"Holy tadpole","A action-packed display of a feminist and a pioneer who must pursue a dog in a baloon factory",Classics,English,88,2
432,"Hope tootsie","A amazing documentary of a student and a sumo wrestler who must outgun a a shark in a shark tank",Classics,English,139,5
445,"Hyde doctor","A fanciful documentary of a boy and a woman who must redeem a womanizer in a jet boat",Classics,English,100,6
469,"Iron moon","A fast-paced documentary of a mad cow and a boy who must pursue a dentist in a baloon",Classics,English,46,3
471,"Island exorcist","A fanciful panorama of a technical writer and a boy who must find a dentist in an abandoned fun house",Classics,English,84,7
480,"Jeepers wedding","A astounding display of a composer and a dog who must kill a pastry chef in soviet georgia",Classics,English,84,4
482,"Jeopardy encino","A boring panorama of a man and a mad cow who must face a explorer in ancient india",Classics,English,102,3
484,"Jerk paycheck","A touching character study of a pastry chef and a database administrator who must reach a a shark in ancient japan",Classics,English,172,7
487,"Jingle sagebrush","A epic character study of a feminist and a student who must meet a woman in a baloon",Classics,English,124,3
512,"League hellfighters","A thoughtful saga of a a shark and a monkey who must outgun a student in ancient china",Classics,English,110,6
523,"Lights deer","A unbelieveable epistle of a dog and a woman who must confront a moose in the gulf of mexico",Classics,English,174,2
525,"Loathing legally","A boring epistle of a pioneer and a mad scientist who must escape a frisbee in the gulf of mexico",Classics,English,140,8
536,"Lovely jingle","A fanciful yarn of a crocodile and a forensic psychologist who must discover a crocodile in the outback",Classics,English,65,5
537,"Lover truman","A emotional yarn of a robot and a boy who must outgun a technical writer in a u-boat",Classics,English,75,3
548,"Magnificent chitty","A insightful story of a teacher and a hunter who must face a mad cow in california",Classics,English,53,2
554,"Malkovich pet","A intrepid reflection of a waitress and a a shark who must kill a squirrel in the outback",Classics,English,159,7
578,"Million ace","A brilliant documentary of a womanizer and a squirrel who must find a technical writer in the sahara desert",Classics,English,142,5
611,"Musketeers wait","A touching yarn of a student and a moose who must fight a mad cow in australia",Classics,English,73,6
633,"October submarine","A taut epistle of a monkey and a boy who must confront a husband in a jet boat",Classics,English,54,3
652,"Pajama jawbreaker","A emotional drama of a boy and a technical writer who must redeem a sumo wrestler in california",Classics,English,126,4
663,"Patient sister","A emotional epistle of a squirrel and a robot who must confront a lumberjack in soviet georgia",Classics,English,99,5
694,"Prejudice oleander","A epic saga of a boy and a dentist who must outrace a madman in a u-boat",Classics,English,98,6
725,"Requiem tycoon","A unbelieveable character study of a cat and a database administrator who must pursue a teacher in a monastery",Classics,English,167,6
731,"Right cranes","A fateful character study of a boat and a cat who must find a database administrator in a jet boat",Classics,English,153,3
744,"Roots remember","A brilliant drama of a mad cow and a hunter who must escape a hunter in berlin",Classics,English,89,5
808,"Sling luke","A intrepid character study of a robot and a monkey who must reach a secret agent in an abandoned amusement park",Classics,English,84,2
815,"Snatchers montezuma","A boring epistle of a sumo wrestler and a woman who must escape a man in the canadian rockies",Classics,English,74,3
828,"Spiking element","A lacklusture epistle of a dentist and a technical writer who must find a dog in a monastery",Classics,English,79,4
843,"Steel santa","A fast-paced yarn of a composer and a frisbee who must face a moose in nigeria",Classics,English,143,7
862,"Summer scarface","A emotional panorama of a lumberjack and a hunter who must meet a girl in a shark tank",Classics,English,53,5
891,"Timberland sky","A boring display of a man and a dog who must redeem a girl in a u-boat",Classics,English,69,7
895,"Tomorrow hustler","A thoughtful story of a moose and a husband who must face a secret agent in the sahara desert",Classics,English,142,7
899,"Towers hurricane","A fateful display of a monkey and a car who must sink a husband in a mysql convention",Classics,English,144,3
951,"Voyage legally","A epic tale of a squirrel and a hunter who must conquer a boy in an abandoned mine shaft",Classics,English,78,7
962,"Wasteland divine","A fanciful story of a database administrator and a womanizer who must fight a database administrator in ancient china",Classics,English,85,4
970,"Westward seabiscuit","A lacklusture tale of a butler and a husband who must face a boy in ancient china",Classics,English,52,7
7,"Airplane sierra","A touching saga of a hunter and a butler who must discover a butler in a jet boat",Comedy,English,62,5
28,"Anthem luke","A touching panorama of a waitress and a woman who must outrace a dog in an abandoned amusement park",Comedy,English,91,3
99,"Bringing hysterical","A fateful saga of a a shark and a technical writer who must find a woman in a jet boat",Comedy,English,136,6
119,"Caper motions","A fateful saga of a moose and a car who must pursue a woman in a mysql convention",Comedy,English,176,7
127,"Cat coneheads","A fast-paced panorama of a girl and a a shark who must confront a boy in ancient india",Comedy,English,112,8
159,"Closer bang","A unbelieveable panorama of a frisbee and a hunter who must vanquish a monkey in ancient india",Comedy,English,58,7
178,"Connection microcosmos","A fateful documentary of a crocodile and a husband who must face a husband in the first manned space station",Comedy,English,115,2
182,"Control anthem","A fateful documentary of a robot and a student who must battle a cat in a monastery",Comedy,English,185,2
188,"Crazy home","A fanciful panorama of a boy and a woman who must vanquish a database administrator in the outback",Comedy,English,136,3
202,"Daddy pittsburgh","A epic story of a a shark and a student who must confront a explorer in the gulf of mexico",Comedy,English,161,3
242,"Doom dancing","A astounding panorama of a car and a mad scientist who must battle a lumberjack in a mysql convention",Comedy,English,68,5
247,"Downhill enough","A emotional tale of a pastry chef and a forensic psychologist who must succumb a monkey in the sahara desert",Comedy,English,47,7
265,"Dying maker","A intrepid tale of a boat and a monkey who must kill a cat in california",Comedy,English,168,4
276,"Element freddy","A awe-inspiring reflection of a waitress and a squirrel who must kill a mad cow in a jet boat",Comedy,English,115,4
308,"Ferris mother","A touching display of a frisbee and a frisbee who must kill a girl in the gulf of mexico",Comedy,English,142,4
317,"Fireball philadelphia","A amazing yarn of a dentist and a a shark who must vanquish a madman in an abandoned mine shaft",Comedy,English,148,7
324,"Flintstones happiness","A fateful story of a husband and a moose who must vanquish a boy in california",Comedy,English,148,5
335,"Freedom cleopatra","A emotional reflection of a dentist and a mad cow who must face a squirrel in a baloon",Comedy,English,133,2
365,"Gold river","A taut documentary of a database administrator and a waitress who must reach a mad scientist in a baloon factory",Comedy,English,154,4
385,"Groundhog uncut","A brilliant panorama of a astronaut and a technical writer who must discover a butler in a manhattan penthouse",Comedy,English,139,5
388,"Gunfight moon","A epic reflection of a pastry chef and a explorer who must reach a dentist in the sahara desert",Comedy,English,70,6
410,"Heaven freedom","A intrepid story of a butler and a car who must vanquish a man in new orleans",Comedy,English,48,5
413,"Hedwig alter","A action-packed yarn of a womanizer and a lumberjack who must chase a sumo wrestler in a monastery",Comedy,English,169,3
